BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,
Rebellion.nlogo,,,,,,,,,,,,
experiment 16,,,,,,,,,,,,
05/23/2018 16:03:22:268 +1000,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,39,0,39,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
government-legitimacy,0.2,,,,0.55,,,,0.9,,,
movement?,TRUE,,,,TRUE,,,,TRUE,,,
initial-agent-density,70,,,,70,,,,70,,,
vision,7,,,,7,,,,7,,,
max-jail-term,10,,,,10,,,,10,,,
visualization,3D,,,,3D,,,,3D,,,
initial-cop-density,7,,,,7,,,,7,,,
[reporter],JAILED,ACTIVE,QUIET,COPS,JAILED,ACTIVE,QUIET,COPS,JAILED,ACTIVE,QUIET,COPS
[final],399,443,278,112,404,362,354,112,0,0,1120,112
[min],0,0,191,112,0,0,286,112,0,0,1120,112
[max],441,764,1120,112,433,663,1120,112,0,0,1120,112
[mean],385.7128713,460.4455446,273.8415842,112,390.7029703,368,361.2970297,112,0,0,1120,112
[steps],100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS,JAILED,ACTIVE,QUIET,COPS,JAILED,ACTIVE,QUIET,COPS
,0,0,1120,112,0,0,1120,112,0,0,1120,112
,89,683,348,112,85,235,800,112,0,0,1120,112
,165,764,191,112,149,663,308,112,0,0,1120,112
,230,687,203,112,213,617,290,112,0,0,1120,112
,292,623,205,112,281,553,286,112,0,0,1120,112
,328,559,233,112,325,492,303,112,0,0,1120,112
,356,524,240,112,367,439,314,112,0,0,1120,112
,385,498,237,112,396,399,325,112,0,0,1120,112
,396,472,252,112,407,371,342,112,0,0,1120,112
,393,458,269,112,404,362,354,112,0,0,1120,112
,389,460,271,112,399,363,358,112,0,0,1120,112
,381,465,274,112,401,369,350,112,0,0,1120,112
,376,470,274,112,410,363,347,112,0,0,1120,112
,394,476,250,112,403,362,355,112,0,0,1120,112
,385,460,275,112,406,366,348,112,0,0,1120,112
,402,465,253,112,409,362,349,112,0,0,1120,112
,406,451,263,112,403,360,357,112,0,0,1120,112
,406,447,267,112,397,367,356,112,0,0,1120,112
,413,446,261,112,397,373,350,112,0,0,1120,112
,408,439,273,112,390,372,358,112,0,0,1120,112
,402,442,276,112,386,376,358,112,0,0,1120,112
,407,451,262,112,403,378,339,112,0,0,1120,112
,404,444,272,112,409,365,346,112,0,0,1120,112
,394,444,282,112,404,360,356,112,0,0,1120,112
,392,459,269,112,406,361,353,112,0,0,1120,112
,389,460,271,112,407,363,350,112,0,0,1120,112
,403,461,256,112,411,360,349,112,0,0,1120,112
,393,451,276,112,404,353,363,112,0,0,1120,112
,397,459,264,112,402,363,355,112,0,0,1120,112
,394,457,269,112,389,366,365,112,0,0,1120,112
,386,458,276,112,414,378,328,112,0,0,1120,112
,397,464,259,112,406,353,361,112,0,0,1120,112
,388,460,272,112,389,365,366,112,0,0,1120,112
,396,465,259,112,396,378,346,112,0,0,1120,112
,392,457,271,112,399,372,349,112,0,0,1120,112
,389,460,271,112,402,370,348,112,0,0,1120,112
,386,466,268,112,409,367,344,112,0,0,1120,112
,396,468,256,112,416,357,347,112,0,0,1120,112
,388,460,272,112,429,351,340,112,0,0,1120,112
,401,464,255,112,433,337,350,112,0,0,1120,112
,404,451,265,112,422,336,362,112,0,0,1120,112
,398,447,275,112,425,345,350,112,0,0,1120,112
,394,453,273,112,416,346,358,112,0,0,1120,112
,399,457,264,112,409,356,355,112,0,0,1120,112
,407,455,258,112,415,355,350,112,0,0,1120,112
,423,444,253,112,416,353,351,112,0,0,1120,112
,414,430,276,112,409,357,354,112,0,0,1120,112
,390,440,290,112,414,360,346,112,0,0,1120,112
,382,458,280,112,398,351,371,112,0,0,1120,112
,401,475,244,112,396,370,354,112,0,0,1120,112
,404,448,268,112,390,374,356,112,0,0,1120,112
,417,445,258,112,392,379,349,112,0,0,1120,112
,424,436,260,112,411,374,335,112,0,0,1120,112
,418,431,271,112,414,358,348,112,0,0,1120,112
,411,431,278,112,411,356,353,112,0,0,1120,112
,409,440,271,112,406,355,359,112,0,0,1120,112
,400,441,279,112,397,360,363,112,0,0,1120,112
,398,448,274,112,399,371,350,112,0,0,1120,112
,391,456,273,112,415,370,335,112,0,0,1120,112
,392,458,270,112,411,351,358,112,0,0,1120,112
,402,459,259,112,410,358,352,112,0,0,1120,112
,405,451,264,112,389,356,375,112,0,0,1120,112
,412,445,263,112,410,378,332,112,0,0,1120,112
,403,443,274,112,401,357,362,112,0,0,1120,112
,388,454,278,112,399,366,355,112,0,0,1120,112
,397,461,262,112,405,370,345,112,0,0,1120,112
,389,454,277,112,399,361,360,112,0,0,1120,112
,393,463,264,112,411,369,340,112,0,0,1120,112
,386,459,275,112,409,362,349,112,0,0,1120,112
,396,465,259,112,387,361,372,112,0,0,1120,112
,404,457,259,112,404,377,339,112,0,0,1120,112
,411,446,263,112,410,362,348,112,0,0,1120,112
,401,439,280,112,424,359,337,112,0,0,1120,112
,379,454,287,112,414,343,363,112,0,0,1120,112
,380,474,266,112,408,354,358,112,0,0,1120,112
,377,471,272,112,399,362,359,112,0,0,1120,112
,371,476,273,112,403,368,349,112,0,0,1120,112
,373,480,267,112,401,367,352,112,0,0,1120,112
,369,483,268,112,389,366,365,112,0,0,1120,112
,376,483,261,112,393,377,350,112,0,0,1120,112
,373,476,271,112,402,373,345,112,0,0,1120,112
,383,481,256,112,404,366,350,112,0,0,1120,112
,380,470,270,112,391,365,364,112,0,0,1120,112
,398,472,250,112,411,374,335,112,0,0,1120,112
,401,452,267,112,413,352,355,112,0,0,1120,112
,403,449,268,112,412,352,356,112,0,0,1120,112
,416,451,253,112,404,360,356,112,0,0,1120,112
,432,433,255,112,399,365,356,112,0,0,1120,112
,434,424,262,112,398,370,352,112,0,0,1120,112
,433,420,267,112,409,368,343,112,0,0,1120,112
,441,420,259,112,409,362,349,112,0,0,1120,112
,434,414,272,112,406,357,357,112,0,0,1120,112
,418,422,280,112,402,361,357,112,0,0,1120,112
,394,433,293,112,407,366,347,112,0,0,1120,112
,408,457,255,112,400,360,360,112,0,0,1120,112
,414,448,258,112,397,369,354,112,0,0,1120,112
,407,439,274,112,400,372,348,112,0,0,1120,112
,404,443,273,112,399,368,353,112,0,0,1120,112
,399,447,274,112,403,368,349,112,0,0,1120,112
,410,453,257,112,404,367,349,112,0,0,1120,112
,399,443,278,112,404,362,354,112,0,0,1120,112
